订单ID,日期,菜品名称,菜品分类,单价,数量,交易总额(元),支付方式,售卖时段
64,2022-07-01,咖喱土豆球,快餐,20,13,260,在线支付,早晨
65,2022-07-01,招牌三明治,快餐,60,1,60,现金,傍晚
66,2022-07-01,法兰基卷,快餐,50,11,550,在线支付,早晨
67,2022-07-01,法兰基卷,快餐,50,7,350,在线支付,下午
68,2022-07-01,冰咖啡,饮品,40,11,440,在线支付,晚上
69,2022-07-01,瓦达汉堡,快餐,20,11,220,其他,下午
70,2022-07-01,咖喱土豆球,快餐,20,11,220,在线支付,午夜
71,2022-07-01,瓦达汉堡,快餐,20,2,40,其他,下午
72,2022-07-01,咖喱土豆球,快餐,20,5,100,现金,傍晚
73,2022-07-01,新鲜甘蔗汁,饮品,25,9,225,现金,晚上
74,2022-07-01,瓦达汉堡,快餐,20,3,60,在线支付,午夜
75,2022-07-01,法兰基卷,快餐,50,1,50,现金,傍晚
76,2022-07-01,招牌三明治,快餐,60,15,900,其他,午夜
77,2022-07-01,招牌三明治,快餐,60,7,420,现金,傍晚
78,2022-07-01,法兰基卷,快餐,50,6,300,现金,傍晚
79,2022-07-01,冰咖啡,饮品,40,9,360,其他,晚上
80,2022-07-01,脆球点心,快餐,20,1,20,现金,下午
81,2022-07-01,法兰基卷,快餐,50,8,400,现金,午夜
82,2022-07-01,新鲜甘蔗汁,饮品,25,9,225,现金,晚上
83,2022-07-01,新鲜甘蔗汁,饮品,25,4,100,现金,下午
84,2022-07-01,脆球点心,快餐,20,11,220,在线支付,下午
85,2022-07-01,冰咖啡,饮品,40,5,200,在线支付,下午
86,2022-07-01,脆球点心,快餐,20,9,180,现金,晚上
87,2022-07-01,冰咖啡,饮品,40,12,480,现金,下午
88,2022-07-01,瓦达汉堡,快餐,20,15,300,在线支付,晚上
89,2022-07-01,法兰基卷,快餐,50,12,600,现金,下午
90,2022-07-01,脆球点心,快餐,20,6,120,其他,早晨
91,2022-07-01,脆球点心,快餐,20,5,100,现金,晚上
92,2022-07-01,瓦达汉堡,快餐,20,1,20,在线支付,下午
93,2022-07-01,脆球点心,快餐,20,9,180,现金,晚上
94,2022-07-01,冰咖啡,饮品,40,8,320,现金,傍晚
95,2022-07-01,新鲜甘蔗汁,饮品,25,14,350,在线支付,晚上
96,2022-07-01,新鲜甘蔗汁,饮品,25,1,25,现金,下午
97,2022-07-01,瓦达汉堡,快餐,20,1,20,其他,晚上
98,2022-07-01,新鲜甘蔗汁,饮品,25,13,325,在线支付,傍晚
99,2022-07-01,瓦达汉堡,快餐,20,1,20,现金,午夜
100,2022-07-01,新鲜甘蔗汁,饮品,25,10,250,在线支付,早晨
101,2022-07-01,瓦达汉堡,快餐,20,3,60,在线支付,下午
102,2022-07-01,冰咖啡,饮品,40,10,400,在线支付,傍晚
103,2022-07-01,法兰基卷,快餐,50,4,200,在线支付,晚上
104,2022-07-01,法兰基卷,快餐,50,1,50,在线支付,傍晚
105,2022-07-01,新鲜甘蔗汁,饮品,25,2,50,在线支付,下午
106,2022-07-01,招牌三明治,快餐,60,9,540,现金,傍晚
107,2022-07-01,脆球点心,快餐,20,8,160,现金,晚上
108,2022-07-01,新鲜甘蔗汁,饮品,25,10,250,在线支付,晚上
109,2022-07-01,招牌三明治,快餐,60,11,660,现金,傍晚
110,2022-07-01,新鲜甘蔗汁,饮品,25,15,375,现金,晚上
111,2022-07-01,瓦达汉堡,快餐,20,5,100,在线支付,下午
112,2022-07-01,冰咖啡,饮品,40,12,480,其他,午夜
113,2022-07-01,脆球点心,快餐,20,11,220,在线支付,下午
114,2022-07-01,法兰基卷,快餐,50,15,750,在线支付,早晨
115,2022-07-01,新鲜甘蔗汁,饮品,25,6,150,现金,傍晚
116,2022-07-01,法兰基卷,快餐,50,7,350,在线支付,傍晚
117,2022-07-01,法兰基卷,快餐,50,10,500,在线支付,下午
118,2022-07-01,咖喱土豆球,快餐,20,12,240,在线支付,下午
119,2022-07-01,咖喱土豆球,快餐,20,12,240,现金,下午
120,2022-07-01,招牌三明治,快餐,60,10,600,在线支付,下午
121,2022-07-01,脆球点心,快餐,20,7,140,在线支付,下午
122,2022-07-01,招牌三明治,快餐,60,1,60,在线支付,下午
123,2022-07-01,新鲜甘蔗汁,饮品,25,1,25,现金,早晨
124,2022-07-01,招牌三明治,快餐,60,8,480,在线支付,早晨
125,2022-07-01,咖喱土豆球,快餐,20,13,260,在线支付,午夜
126,2022-07-01,招牌三明治,快餐,60,9,540,其他,下午
127,2022-07-01,新鲜甘蔗汁,饮品,25,12,300,在线支付,早晨
128,2022-07-01,新鲜甘蔗汁,饮品,25,1,25,其他,早晨
129,2022-07-01,招牌三明治,快餐,60,8,480,在线支付,下午
130,2022-07-01,冰咖啡,饮品,40,8,320,在线支付,下午
131,2022-07-01,冰咖啡,饮品,40,11,440,现金,傍晚
132,2022-07-01,咖喱土豆球,快餐,20,1,20,现金,午夜
133,2022-07-01,咖喱土豆球,快餐,20,7,140,在线支付,晚上
134,2022-07-01,冰咖啡,饮品,40,9,360,其他,傍晚
135,2022-07-01,新鲜甘蔗汁,饮品,25,8,200,现金,下午
136,2022-07-01,瓦达汉堡,快餐,20,10,200,其他,晚上
137,2022-07-01,脆球点心,快餐,20,10,200,在线支付,晚上
138,2022-07-01,冰咖啡,饮品,40,4,160,现金,早晨
139,2022-07-01,冰咖啡,饮品,40,13,520,在线支付,晚上
140,2022-07-02,冰咖啡,饮品,40,4,160,在线支付,早晨
141,2022-07-02,咖喱土豆球,快餐,20,10,200,现金,早晨
142,2022-07-02,脆球点心,快餐,20,8,160,现金,早晨
143,2022-07-02,脆球点心,快餐,20,2,40,在线支付,晚上
144,2022-07-02,招牌三明治,快餐,60,14,840,在线支付,早晨
145,2022-07-02,瓦达汉堡,快餐,20,6,120,在线支付,早晨
146,2022-07-02,瓦达汉堡,快餐,20,9,180,现金,下午
147,2022-07-02,新鲜甘蔗汁,饮品,25,15,375,现金,午夜
148,2022-07-02,法兰基卷,快餐,50,8,400,现金,傍晚
149,2022-07-02,招牌三明治,快餐,60,7,420,在线支付,傍晚
150,2022-07-02,招牌三明治,快餐,60,6,360,现金,傍晚
151,2022-07-02,新鲜甘蔗汁,饮品,25,6,150,现金,晚上
152,2022-07-02,法兰基卷,快餐,50,8,400,现金,傍晚
153,2022-07-02,咖喱土豆球,快餐,20,1,20,现金,午夜
154,2022-07-02,脆球点心,快餐,20,15,300,其他,晚上
155,2022-07-02,招牌三明治,快餐,60,15,900,在线支付,午夜
156,2022-07-02,新鲜甘蔗汁,饮品,25,9,225,现金,午夜
157,2022-07-02,咖喱土豆球,快餐,20,13,260,在线支付,早晨
158,2022-07-02,咖喱土豆球,快餐,20,8,160,现金,早晨
159,2022-07-02,脆球点心,快餐,20,6,120,在线支付,午夜
160,2022-07-02,咖喱土豆球,快餐,20,15,300,现金,下午
161,2022-07-02,瓦达汉堡,快餐,20,5,100,在线支付,下午
162,2022-07-02,瓦达汉堡,快餐,20,1,20,现金,下午
163,2022-07-02,法兰基卷,快餐,50,1,50,在线支付,早晨
164,2022-07-02,脆球点心,快餐,20,7,140,现金,傍晚
165,2022-07-02,脆球点心,快餐,20,7,140,现金,晚上
166,2022-07-02,瓦达汉堡,快餐,20,5,100,现金,晚上
167,2022-07-02,招牌三明治,快餐,60,2,120,现金,早晨
168,2022-07-02,法兰基卷,快餐,50,6,300,现金,傍晚
169,2022-07-02,瓦达汉堡,快餐,20,6,120,在线支付,晚上
170,2022-07-02,瓦达汉堡,快餐,20,6,120,在线支付,下午
171,2022-07-02,冰咖啡,饮品,40,9,360,在线支付,傍晚
172,2022-07-02,法兰基卷,快餐,50,1,50,在线支付,傍晚
173,2022-07-02,招牌三明治,快餐,60,13,780,现金,早晨
174,2022-07-02,冰咖啡,饮品,40,4,160,其他,午夜
175,2022-07-02,冰咖啡,饮品,40,13,520,现金,早晨
176,2022-07-02,法兰基卷,快餐,50,8,400,在线支付,晚上
177,2022-07-02,瓦达汉堡,快餐,20,2,40,在线支付,午夜
178,2022-07-02,脆球点心,快餐,20,13,260,在线支付,傍晚
179,2022-07-02,招牌三明治,快餐,60,3,180,在线支付,晚上
180,2022-07-02,咖喱土豆球,快餐,20,4,80,在线支付,下午
181,2022-07-02,招牌三明治,快餐,60,5,300,其他,傍晚
182,2022-07-02,冰咖啡,饮品,40,8,320,现金,傍晚
183,2022-07-02,新鲜甘蔗汁,饮品,25,10,250,在线支付,午夜
184,2022-07-02,新鲜甘蔗汁,饮品,25,15,375,现金,午夜
185,2022-07-02,脆球点心,快餐,20,9,180,现金,午夜
186,2022-07-02,新鲜甘蔗汁,饮品,25,1,25,在线支付,下午
187,2022-07-02,冰咖啡,饮品,40,14,560,现金,晚上
188,2022-07-02,招牌三明治,快餐,60,14,840,现金,傍晚
189,2022-07-02,新鲜甘蔗汁,饮品,25,7,175,在线支付,早晨
190,2022-07-02,冰咖啡,饮品,40,10,400,现金,早晨
191,2022-07-02,新鲜甘蔗汁,饮品,25,8,200,现金,晚上
192,2022-07-02,法兰基卷,快餐,50,8,400,现金,傍晚
193,2022-07-02,法兰基卷,快餐,50,6,300,现金,傍晚
194,2022-07-02,新鲜甘蔗汁,饮品,25,10,250,在线支付,午夜
195,2022-07-02,瓦达汉堡,快餐,20,11,220,现金,晚上
196,2022-07-02,新鲜甘蔗汁,饮品,25,3,75,在线支付,午夜
197,2022-07-02,法兰基卷,快餐,50,3,150,现金,晚上
198,2022-07-02,法兰基卷,快餐,50,11,550,在线支付,早晨
199,2022-07-02,脆球点心,快餐,20,9,180,现金,午夜
200,2022-07-02,瓦达汉堡,快餐,20,10,200,现金,晚上
201,2022-07-02,法兰基卷,快餐,50,13,650,在线支付,早晨
202,2022-07-02,冰咖啡,饮品,40,1,40,现金,傍晚
203,2022-07-02,冰咖啡,饮品,40,10,400,现金,早晨
204,2022-07-02,新鲜甘蔗汁,饮品,25,8,200,现金,早晨
205,2022-07-02,冰咖啡,饮品,40,11,440,在线支付,晚上
206,2022-07-02,脆球点心,快餐,20,1,20,现金,早晨
207,2022-07-02,咖喱土豆球,快餐,20,8,160,现金,下午
208,2022-07-02,脆球点心,快餐,20,8,160,其他,傍晚
209,2022-07-02,脆球点心,快餐,20,5,100,在线支付,午夜
210,2022-07-02,新鲜甘蔗汁,饮品,25,9,225,在线支付,午夜
211,2022-07-02,新鲜甘蔗汁,饮品,25,5,125,在线支付,傍晚
212,2022-07-02,咖喱土豆球,快餐,20,11,220,现金,下午
213,2022-07-02,法兰基卷,快餐,50,3,150,在线支付,傍晚
214,2022-07-02,招牌三明治,快餐,60,8,480,现金,傍晚
215,2022-07-02,脆球点心,快餐,20,5,100,现金,午夜
216,2022-07-02,新鲜甘蔗汁,饮品,25,1,25,现金,早晨
217,2022-07-02,冰咖啡,饮品,40,11,440,现金,早晨
218,2022-07-02,招牌三明治,快餐,60,7,420,现金,傍晚
219,2022-07-02,新鲜甘蔗汁,饮品,25,15,375,现金,早晨
220,2022-07-02,法兰基卷,快餐,50,7,350,现金,晚上
221,2022-07-02,脆球点心,快餐,20,7,140,在线支付,傍晚
222,2022-07-02,法兰基卷,快餐,50,8,400,其他,午夜
223,2022-07-02,脆球点心,快餐,20,7,140,现金,午夜
224,2022-07-02,法兰基卷,快餐,50,9,450,现金,傍晚
225,2022-07-02,法兰基卷,快餐,50,7,350,在线支付,晚上
226,2022-07-02,脆球点心,快餐,20,10,200,现金,下午
227,2022-07-02,冰咖啡,饮品,40,9,360,在线支付,早晨
228,2022-07-02,脆球点心,快餐,20,5,100,在线支付,晚上
229,2022-07-02,新鲜甘蔗汁,饮品,25,4,100,现金,晚上
230,2022-07-02,新鲜甘蔗汁,饮品,25,9,225,现金,下午
231,2022-07-02,冰咖啡,饮品,40,9,360,现金,早晨
232,2022-07-02,脆球点心,快餐,20,9,180,现金,傍晚
233,2022-07-02,咖喱土豆球,快餐,20,7,140,在线支付,早晨
234,2022-07-02,脆球点心,快餐,20,10,200,在线支付,傍晚
235,2022-07-02,招牌三明治,快餐,60,8,480,在线支付,傍晚
236,2022-07-02,脆球点心,快餐,20,2,40,现金,下午
237,2022-07-02,脆球点心,快餐,20,6,120,现金,午夜
238,2022-07-02,冰咖啡,饮品,40,11,440,在线支付,晚上
239,2022-07-02,新鲜甘蔗汁,饮品,25,6,150,在线支付,午夜
240,2022-07-02,法兰基卷,快餐,50,11,550,在线支付,下午
241,2022-07-02,冰咖啡,饮品,40,6,240,在线支付,早晨
242,2022-07-02,新鲜甘蔗汁,饮品,25,1,25,在线支付,午夜
243,2022-07-02,瓦达汉堡,快餐,20,12,240,在线支付,下午
244,2022-07-02,冰咖啡,饮品,40,1,40,在线支付,下午
245,2022-07-02,法兰基卷,快餐,50,10,500,在线支付,早晨
246,2022-07-02,招牌三明治,快餐,60,5,300,在线支付,午夜
247,2022-07-02,脆球点心,快餐,20,15,300,其他,午夜
248,2022-07-02,法兰基卷,快餐,50,11,550,在线支付,傍晚
249,2022-07-02,脆球点心,快餐,20,12,240,其他,早晨
250,2022-07-02,脆球点心,快餐,20,11,220,现金,傍晚
251,2022-07-02,咖喱土豆球,快餐,20,9,180,在线支付,傍晚
252,2022-07-02,脆球点心,快餐,20,15,300,在线支付,午夜
253,2022-07-02,脆球点心,快餐,20,4,80,在线支付,早晨
254,2022-07-02,招牌三明治,快餐,60,6,360,在线支付,午夜
255,2022-07-02,招牌三明治,快餐,60,15,900,在线支付,午夜
256,2022-07-02,冰咖啡,饮品,40,5,200,在线支付,下午
257,2022-07-02,冰咖啡,饮品,40,15,600,在线支付,午夜
258,2022-07-02,瓦达汉堡,快餐,20,11,220,在线支付,下午
259,2022-07-02,瓦达汉堡,快餐,20,5,100,在线支付,早晨
260,2022-07-02,招牌三明治,快餐,60,15,900,现金,下午
261,2022-07-02,咖喱土豆球,快餐,20,6,120,在线支付,晚上
262,2022-07-02,咖喱土豆球,快餐,20,15,300,现金,晚上
263,2022-07-02,新鲜甘蔗汁,饮品,25,4,100,现金,下午
264,2022-07-02,招牌三明治,快餐,60,10,600,现金,晚上
265,2022-07-02,冰咖啡,饮品,40,6,240,其他,下午
266,2022-07-02,法兰基卷,快餐,50,5,250,现金,傍晚
267,2022-07-02,瓦达汉堡,快餐,20,11,220,现金,傍晚
268,2022-07-02,招牌三明治,快餐,60,4,240,现金,下午
269,2022-07-02,冰咖啡,饮品,40,11,440,现金,下午
270,2022-07-02,脆球点心,快餐,20,5,100,在线支付,下午
271,2022-07-02,招牌三明治,快餐,60,15,900,现金,晚上
272,2022-07-02,冰咖啡,饮品,40,8,320,现金,早晨
273,2022-07-02,瓦达汉堡,快餐,20,7,140,现金,傍晚
274,2022-07-02,法兰基卷,快餐,50,5,250,在线支付,下午
275,2022-07-02,法兰基卷,快餐,50,12,600,在线支付,早晨
276,2022-07-03,冰咖啡,饮品,40,4,160,其他,傍晚
277,2022-07-03,招牌三明治,快餐,60,4,240,在线支付,早晨
278,2022-07-03,招牌三明治,快餐,60,3,180,现金,傍晚
279,2022-07-03,招牌三明治,快餐,60,9,540,在线支付,晚上
280,2022-07-03,新鲜甘蔗汁,饮品,25,7,175,现金,下午
281,2022-07-03,咖喱土豆球,快餐,20,9,180,现金,傍晚
282,2022-07-03,法兰基卷,快餐,50,12,600,在线支付,晚上
283,2022-07-03,咖喱土豆球,快餐,20,3,60,在线支付,下午
284,2022-07-03,瓦达汉堡,快餐,20,7,140,现金,傍晚
285,2022-07-03,脆球点心,快餐,20,8,160,在线支付,傍晚
286,2022-07-03,法兰基卷,快餐,50,8,400,在线支付,晚上
287,2022-07-03,咖喱土豆球,快餐,20,12,240,现金,晚上
288,2022-07-03,冰咖啡,饮品,40,15,600,现金,早晨
289,2022-07-03,招牌三明治,快餐,60,6,360,现金,下午
290,2022-07-03,冰咖啡,饮品,40,11,440,在线支付,晚上
291,2022-07-03,咖喱土豆球,快餐,20,7,140,现金,晚上
292,2022-07-03,瓦达汉堡,快餐,20,1,20,现金,晚上
293,2022-07-03,冰咖啡,饮品,40,14,560,在线支付,午夜
294,2022-07-03,脆球点心,快餐,20,5,100,在线支付,午夜
295,2022-07-03,招牌三明治,快餐,60,6,360,在线支付,晚上
296,2022-07-03,冰咖啡,饮品,40,12,480,在线支付,下午
297,2022-07-03,咖喱土豆球,快餐,20,1,20,其他,午夜
298,2022-07-03,脆球点心,快餐,20,7,140,现金,下午
299,2022-07-03,法兰基卷,快餐,50,4,200,在线支付,晚上
300,2022-07-03,新鲜甘蔗汁,饮品,25,8,200,在线支付,午夜
301,2022-07-03,招牌三明治,快餐,60,8,480,在线支付,傍晚
302,2022-07-03,冰咖啡,饮品,40,7,280,现金,晚上
303,2022-07-03,新鲜甘蔗汁,饮品,25,4,100,现金,早晨
304,2022-07-03,咖喱土豆球,快餐,20,4,80,现金,傍晚
305,2022-07-03,脆球点心,快餐,20,9,180,现金,午夜
306,2022-07-03,脆球点心,快餐,20,9,180,在线支付,傍晚
307,2022-07-03,瓦达汉堡,快餐,20,10,200,在线支付,下午
308,2022-07-03,冰咖啡,饮品,40,6,240,现金,傍晚
309,2022-07-03,新鲜甘蔗汁,饮品,25,1,25,现金,午夜
310,2022-07-03,法兰基卷,快餐,50,4,200,在线支付,下午
311,2022-07-03,冰咖啡,饮品,40,1,40,在线支付,傍晚
312,2022-07-03,脆球点心,快餐,20,8,160,现金,午夜
313,2022-07-03,冰咖啡,饮品,40,5,200,现金,午夜
314,2022-07-03,脆球点心,快餐,20,9,180,在线支付,晚上
315,2022-07-03,新鲜甘蔗汁,饮品,25,14,350,其他,午夜
316,2022-07-03,新鲜甘蔗汁,饮品,25,12,300,现金,下午
317,2022-07-03,冰咖啡,饮品,40,1,40,在线支付,晚上
318,2022-07-03,咖喱土豆球,快餐,20,9,180,现金,晚上
319,2022-07-03,招牌三明治,快餐,60,6,360,在线支付,晚上
320,2022-07-03,法兰基卷,快餐,50,12,600,在线支付,傍晚
321,2022-07-03,脆球点心,快餐,20,1,20,现金,下午
322,2022-07-03,新鲜甘蔗汁,饮品,25,2,50,其他,傍晚
323,2022-07-03,瓦达汉堡,快餐,20,12,240,在线支付,晚上
324,2022-07-03,招牌三明治,快餐,60,2,120,现金,傍晚
325,2022-07-03,冰咖啡,饮品,40,8,320,现金,傍晚
326,2022-07-03,脆球点心,快餐,20,5,100,现金,晚上
327,2022-07-03,法兰基卷,快餐,50,10,500,在线支付,早晨
328,2022-07-03,法兰基卷,快餐,50,10,500,现金,早晨
329,2022-07-03,新鲜甘蔗汁,饮品,25,13,325,在线支付,晚上
330,2022-07-03,法兰基卷,快餐,50,5,250,在线支付,下午
331,2022-07-03,招牌三明治,快餐,60,10,600,在线支付,午夜
332,2022-07-03,招牌三明治,快餐,60,15,900,在线支付,傍晚
333,2022-07-03,招牌三明治,快餐,60,11,660,在线支付,早晨
334,2022-07-03,脆球点心,快餐,20,8,160,在线支付,晚上
335,2022-07-03,新鲜甘蔗汁,饮品,25,7,175,现金,晚上
336,2022-07-03,法兰基卷,快餐,50,8,400,现金,晚上
337,2022-07-03,脆球点心,快餐,20,11,220,现金,早晨
338,2022-07-03,咖喱土豆球,快餐,20,1,20,现金,早晨
339,2022-07-03,脆球点心,快餐,20,12,240,现金,下午
340,2022-07-03,法兰基卷,快餐,50,13,650,现金,晚上
341,2022-07-03,招牌三明治,快餐,60,8,480,现金,下午
342,2022-07-03,招牌三明治,快餐,60,5,300,在线支付,下午
343,2022-07-03,咖喱土豆球,快餐,20,5,100,现金,傍晚
344,2022-07-03,瓦达汉堡,快餐,20,7,140,现金,下午
345,2022-07-03,冰咖啡,饮品,40,15,600,在线支付,下午
346,2022-07-03,法兰基卷,快餐,50,3,150,现金,下午
347,2022-07-03,瓦达汉堡,快餐,20,8,160,在线支付,午夜
348,2022-07-03,法兰基卷,快餐,50,8,400,现金,晚上
349,2022-07-03,冰咖啡,饮品,40,13,520,其他,傍晚
350,2022-07-03,咖喱土豆球,快餐,20,5,100,现金,晚上
351,2022-07-03,冰咖啡,饮品,40,4,160,现金,午夜
352,2022-07-03,咖喱土豆球,快餐,20,11,220,现金,傍晚
353,2022-07-03,咖喱土豆球,快餐,20,13,260,现金,晚上
354,2022-07-03,脆球点心,快餐,20,8,160,在线支付,早晨
355,2022-07-03,法兰基卷,快餐,50,7,350,在线支付,晚上
356,2022-07-03,瓦达汉堡,快餐,20,8,160,在线支付,早晨
357,2022-07-03,新鲜甘蔗汁,饮品,25,11,275,在线支付,傍晚
358,2022-07-03,瓦达汉堡,快餐,20,13,260,在线支付,午夜
359,2022-07-03,法兰基卷,快餐,50,11,550,在线支付,午夜
360,2022-07-03,新鲜甘蔗汁,饮品,25,4,100,现金,傍晚
361,2022-07-03,冰咖啡,饮品,40,11,440,现金,早晨
362,2022-07-03,脆球点心,快餐,20,8,160,在线支付,晚上
363,2022-07-03,咖喱土豆球,快餐,20,6,120,现金,晚上
364,2022-07-03,冰咖啡,饮品,40,8,320,在线支付,晚上
365,2022-07-03,脆球点心,快餐,20,11,220,现金,午夜
366,2022-07-03,冰咖啡,饮品,40,14,560,在线支付,晚上
367,2022-07-03,冰咖啡,饮品,40,10,400,现金,早晨
368,2022-07-03,瓦达汉堡,快餐,20,10,200,在线支付,午夜
369,2022-07-03,法兰基卷,快餐,50,7,350,在线支付,晚上
370,2022-07-03,招牌三明治,快餐,60,12,720,在线支付,晚上
371,2022-07-03,脆球点心,快餐,20,12,240,在线支付,晚上
372,2022-07-03,新鲜甘蔗汁,饮品,25,11,275,在线支付,傍晚
373,2022-07-03,瓦达汉堡,快餐,20,6,120,现金,晚上
374,2022-07-03,法兰基卷,快餐,50,12,600,现金,下午
375,2022-07-03,咖喱土豆球,快餐,20,4,80,在线支付,傍晚
376,2022-07-03,瓦达汉堡,快餐,20,10,200,现金,下午
377,2022-07-03,脆球点心,快餐,20,10,200,现金,晚上
378,2022-07-03,法兰基卷,快餐,50,9,450,在线支付,下午
379,2022-07-03,招牌三明治,快餐,60,1,60,现金,午夜
380,2022-07-03,招牌三明治,快餐,60,2,120,在线支付,午夜
381,2022-07-03,脆球点心,快餐,20,9,180,在线支付,早晨
382,2022-07-03,新鲜甘蔗汁,饮品,25,4,100,现金,下午
383,2022-07-03,脆球点心,快餐,20,10,200,现金,早晨
384,2022-07-03,法兰基卷,快餐,50,10,500,现金,下午
385,2022-07-03,脆球点心,快餐,20,3,60,在线支付,下午
386,2022-07-03,招牌三明治,快餐,60,9,540,现金,下午
387,2022-07-03,新鲜甘蔗汁,饮品,25,1,25,在线支付,早晨
388,2022-07-03,瓦达汉堡,快餐,20,7,140,现金,早晨
389,2022-07-03,招牌三明治,快餐,60,8,480,在线支付,傍晚
390,2022-07-03,冰咖啡,饮品,40,8,320,在线支付,早晨
391,2022-07-03,新鲜甘蔗汁,饮品,25,5,125,现金,午夜
392,2022-07-03,新鲜甘蔗汁,饮品,25,11,275,现金,傍晚
393,2022-07-03,冰咖啡,饮品,40,9,360,现金,傍晚
394,2022-07-03,招牌三明治,快餐,60,11,660,现金,下午
395,2022-07-03,脆球点心,快餐,20,10,200,在线支付,午夜
396,2022-07-03,新鲜甘蔗汁,饮品,25,2,50,其他,午夜
397,2022-07-03,脆球点心,快餐,20,2,40,在线支付,晚上
