订单ID,日期,菜品名称,菜品分类,单价,数量,交易金额,支付方式,售卖时段
73,,脆球点心,快餐,20,5,100,现金,午夜
74,,冰咖啡,饮品,40,10,400,在线支付,傍晚
75,2023-02-02,冰咖啡,饮品,40,6,240,在线支付,下午
76,,瓦达汉堡,快餐,20,9,180,在线支付,早晨
77,2023-02-04,新鲜甘蔗汁,饮品,25,12,300,现金,午夜
78,2022-10-01,瓦达汉堡,快餐,20,4,80,现金,傍晚
79,2022-11-05,脆球点心,快餐,20,6,120,在线支付,晚上
80,,法兰基卷,快餐,50,13,650,现金,傍晚
81,,法兰基卷,快餐,50,12,600,在线支付,晚上
82,,法兰基卷,快餐,50,3,150,在线支付,傍晚
83,,法兰基卷,快餐,50,11,550,其他,傍晚
84,2023-03-03,脆球点心,快餐,20,13,260,现金,午夜
85,,咖喱土豆球,快餐,20,3,60,在线支付,晚上
86,2023-03-09,咖喱土豆球,快餐,20,15,300,现金,早晨
87,,咖喱土豆球,快餐,20,8,160,现金,晚上
88,2022-07-07,冰咖啡,饮品,40,10,400,现金,傍晚
89,,咖喱土豆球,快餐,20,14,280,现金,傍晚
90,,瓦达汉堡,快餐,20,15,300,在线支付,晚上
91,,冰咖啡,饮品,40,6,240,其他,傍晚
92,,咖喱土豆球,快餐,20,15,300,现金,下午
93,2022-07-03,冰咖啡,饮品,40,2,80,在线支付,午夜
94,,咖喱土豆球,快餐,20,15,300,其他,晚上
95,2022-05-12,新鲜甘蔗汁,饮品,25,8,200,在线支付,晚上
96,,招牌三明治,快餐,60,15,900,其他,早晨
97,,冰咖啡,饮品,40,13,520,在线支付,傍晚
98,,瓦达汉堡,快餐,20,1,20,在线支付,早晨
99,2022-09-11,新鲜甘蔗汁,饮品,25,3,75,现金,傍晚
100,2022-05-08,脆球点心,快餐,20,11,220,其他,早晨
101,,瓦达汉堡,快餐,20,3,60,在线支付,早晨
102,,冰咖啡,饮品,40,14,560,现金,早晨
103,,冰咖啡,饮品,40,8,320,在线支付,午夜
104,,冰咖啡,饮品,40,13,520,在线支付,早晨
105,,脆球点心,快餐,20,8,160,现金,傍晚
106,,法兰基卷,快餐,50,9,450,现金,傍晚
107,2023-02-07,招牌三明治,快餐,60,4,240,在线支付,下午
108,2022-08-06,脆球点心,快餐,20,5,100,在线支付,下午
109,2022-08-08,冰咖啡,饮品,40,12,480,其他,下午
110,,脆球点心,快餐,20,2,40,在线支付,早晨
111,2022-09-04,招牌三明治,快餐,60,8,480,现金,午夜
112,,招牌三明治,快餐,60,7,420,现金,早晨
113,2022-12-12,咖喱土豆球,快餐,20,8,160,现金,下午
114,,咖喱土豆球,快餐,20,10,200,在线支付,下午
115,2023-01-12,咖喱土豆球,快餐,20,13,260,其他,傍晚
116,,新鲜甘蔗汁,饮品,25,13,325,现金,傍晚
117,2023-03-09,法兰基卷,快餐,50,7,350,在线支付,傍晚
118,2022-07-06,招牌三明治,快餐,60,1,60,在线支付,午夜
119,2022-05-12,脆球点心,快餐,20,10,200,现金,傍晚
120,2022-07-10,法兰基卷,快餐,50,2,100,现金,傍晚
121,,冰咖啡,饮品,40,8,320,现金,下午
122,,脆球点心,快餐,20,3,60,其他,晚上
123,2022-06-09,冰咖啡,饮品,40,6,240,在线支付,傍晚
124,,新鲜甘蔗汁,饮品,25,13,325,其他,傍晚
125,2022-04-10,瓦达汉堡,快餐,20,7,140,现金,午夜
126,2022-04-08,脆球点心,快餐,20,11,220,在线支付,晚上
127,2022-12-03,咖喱土豆球,快餐,20,1,20,其他,早晨
128,2022-08-07,瓦达汉堡,快餐,20,11,220,在线支付,午夜
129,,脆球点心,快餐,20,13,260,现金,早晨
130,,新鲜甘蔗汁,饮品,25,7,175,现金,晚上
131,,招牌三明治,快餐,60,8,480,现金,晚上
132,2022-12-05,瓦达汉堡,快餐,20,4,80,在线支付,晚上
133,,咖喱土豆球,快餐,20,5,100,在线支付,午夜
134,,咖喱土豆球,快餐,20,12,240,在线支付,晚上
135,,咖喱土豆球,快餐,20,8,160,在线支付,午夜
136,,咖喱土豆球,快餐,20,15,300,在线支付,早晨
137,,新鲜甘蔗汁,饮品,25,6,150,其他,下午
138,2022-09-01,招牌三明治,快餐,60,15,900,在线支付,晚上
139,,法兰基卷,快餐,50,11,550,在线支付,晚上
140,2022-06-12,法兰基卷,快餐,50,13,650,现金,晚上
141,,咖喱土豆球,快餐,20,4,80,其他,傍晚
142,,新鲜甘蔗汁,饮品,25,12,300,现金,早晨
143,,法兰基卷,快餐,50,8,400,其他,下午
144,,脆球点心,快餐,20,10,200,现金,傍晚
145,2022-10-09,招牌三明治,快餐,60,14,840,在线支付,早晨
146,,法兰基卷,快餐,50,4,200,其他,下午
147,,脆球点心,快餐,20,7,140,在线支付,傍晚
148,,招牌三明治,快餐,60,13,780,在线支付,傍晚
149,2022-08-09,招牌三明治,快餐,60,7,420,在线支付,早晨
150,,冰咖啡,饮品,40,14,560,现金,下午
151,2022-07-10,法兰基卷,快餐,50,13,650,在线支付,早晨
152,,冰咖啡,饮品,40,9,360,在线支付,下午
153,,脆球点心,快餐,20,1,20,现金,傍晚
154,,瓦达汉堡,快餐,20,3,60,现金,晚上
155,2023-02-07,新鲜甘蔗汁,饮品,25,10,250,现金,傍晚
156,,脆球点心,快餐,20,14,280,现金,午夜
157,,法兰基卷,快餐,50,7,350,在线支付,午夜
158,,咖喱土豆球,快餐,20,2,40,其他,午夜
159,2022-10-03,新鲜甘蔗汁,饮品,25,1,25,在线支付,下午
160,,瓦达汉堡,快餐,20,10,200,在线支付,晚上
161,,新鲜甘蔗汁,饮品,25,12,300,现金,傍晚
162,2022-05-07,咖喱土豆球,快餐,20,11,220,现金,午夜
163,2023-01-06,法兰基卷,快餐,50,6,300,在线支付,午夜
164,2022-08-10,新鲜甘蔗汁,饮品,25,7,175,在线支付,下午
165,2023-01-05,招牌三明治,快餐,60,11,660,现金,午夜
166,2022-06-01,脆球点心,快餐,20,6,120,现金,傍晚
167,,冰咖啡,饮品,40,6,240,现金,早晨
168,,招牌三明治,快餐,60,4,240,现金,午夜
169,,瓦达汉堡,快餐,20,6,120,现金,早晨
170,,咖喱土豆球,快餐,20,6,120,其他,下午
171,2023-03-02,瓦达汉堡,快餐,20,11,220,现金,午夜
172,,新鲜甘蔗汁,饮品,25,6,150,在线支付,晚上
173,,冰咖啡,饮品,40,2,80,在线支付,晚上
174,2022-09-03,咖喱土豆球,快餐,20,2,40,在线支付,傍晚
175,,法兰基卷,快餐,50,12,600,现金,下午
176,2022-08-04,脆球点心,快餐,20,1,20,现金,午夜
177,,脆球点心,快餐,20,11,220,在线支付,早晨
178,2022-12-09,咖喱土豆球,快餐,20,2,40,现金,早晨
179,2023-03-03,新鲜甘蔗汁,饮品,25,5,125,其他,午夜
180,2022-12-01,瓦达汉堡,快餐,20,6,120,在线支付,下午
181,2022-06-09,冰咖啡,饮品,40,7,280,现金,晚上
182,2022-07-02,冰咖啡,饮品,40,1,40,现金,午夜
183,2022-07-10,新鲜甘蔗汁,饮品,25,5,125,现金,午夜
184,2023-01-03,冰咖啡,饮品,40,8,320,现金,晚上
185,,新鲜甘蔗汁,饮品,25,15,375,其他,晚上
186,,法兰基卷,快餐,50,2,100,在线支付,下午
187,2022-10-11,咖喱土豆球,快餐,20,15,300,现金,早晨
188,,脆球点心,快餐,20,14,280,现金,晚上
189,2023-02-08,瓦达汉堡,快餐,20,12,240,在线支付,下午
190,,冰咖啡,饮品,40,1,40,在线支付,傍晚
191,,新鲜甘蔗汁,饮品,25,14,350,现金,早晨
192,,瓦达汉堡,快餐,20,2,40,在线支付,晚上
193,2023-02-05,冰咖啡,饮品,40,15,600,在线支付,午夜
194,,瓦达汉堡,快餐,20,4,80,现金,早晨
195,,招牌三明治,快餐,60,4,240,现金,晚上
196,,招牌三明治,快餐,60,3,180,现金,傍晚
197,2022-11-08,脆球点心,快餐,20,10,200,现金,午夜
198,2023-01-05,法兰基卷,快餐,50,15,750,现金,早晨
199,2023-02-01,法兰基卷,快餐,50,6,300,在线支付,早晨
200,,冰咖啡,饮品,40,10,400,现金,早晨
201,,脆球点心,快餐,20,8,160,现金,早晨
202,,咖喱土豆球,快餐,20,9,180,现金,下午
203,2022-04-11,瓦达汉堡,快餐,20,6,120,在线支付,午夜
204,,冰咖啡,饮品,40,7,280,现金,傍晚
205,,瓦达汉堡,快餐,20,4,80,其他,下午
206,,咖喱土豆球,快餐,20,4,80,现金,晚上
207,,冰咖啡,饮品,40,8,320,在线支付,傍晚
208,,冰咖啡,饮品,40,13,520,现金,午夜
209,2022-12-04,咖喱土豆球,快餐,20,2,40,现金,晚上
210,2023-01-02,新鲜甘蔗汁,饮品,25,15,375,其他,晚上
211,,咖喱土豆球,快餐,20,12,240,现金,早晨
212,2022-05-05,冰咖啡,饮品,40,12,480,在线支付,早晨
213,,瓦达汉堡,快餐,20,3,60,其他,午夜
214,2022-12-03,新鲜甘蔗汁,饮品,25,14,350,在线支付,傍晚
215,2022-12-10,新鲜甘蔗汁,饮品,25,7,175,其他,早晨
216,2023-03-07,脆球点心,快餐,20,9,180,现金,下午
217,,冰咖啡,饮品,40,10,400,现金,早晨
218,,冰咖啡,饮品,40,13,520,在线支付,午夜
219,2022-10-01,咖喱土豆球,快餐,20,9,180,现金,傍晚
220,,新鲜甘蔗汁,饮品,25,1,25,现金,下午
221,,招牌三明治,快餐,60,1,60,在线支付,傍晚
222,2022-09-11,招牌三明治,快餐,60,6,360,现金,早晨
223,,脆球点心,快餐,20,13,260,在线支付,晚上
224,,新鲜甘蔗汁,饮品,25,14,350,现金,下午
225,,法兰基卷,快餐,50,11,550,现金,傍晚
226,2022-12-12,咖喱土豆球,快餐,20,13,260,在线支付,下午
227,,冰咖啡,饮品,40,5,200,现金,下午
228,2022-11-05,脆球点心,快餐,20,8,160,在线支付,晚上
229,,脆球点心,快餐,20,7,140,其他,傍晚
230,,法兰基卷,快餐,50,6,300,在线支付,下午
231,,新鲜甘蔗汁,饮品,25,3,75,其他,晚上
232,,瓦达汉堡,快餐,20,13,260,现金,晚上
233,,脆球点心,快餐,20,5,100,现金,早晨
234,,脆球点心,快餐,20,10,200,现金,午夜
235,,招牌三明治,快餐,60,10,600,现金,下午
236,,瓦达汉堡,快餐,20,12,240,其他,傍晚
237,2022-11-08,脆球点心,快餐,20,13,260,现金,午夜
238,,瓦达汉堡,快餐,20,13,260,现金,早晨
239,2022-12-04,法兰基卷,快餐,50,4,200,在线支付,傍晚
240,2022-12-11,招牌三明治,快餐,60,10,600,现金,早晨
241,2022-06-06,新鲜甘蔗汁,饮品,25,2,50,现金,下午
242,,冰咖啡,饮品,40,4,160,在线支付,午夜
243,2022-11-12,脆球点心,快餐,20,5,100,现金,午夜
244,,招牌三明治,快餐,60,10,600,在线支付,午夜
245,2022-10-03,瓦达汉堡,快餐,20,2,40,现金,早晨
246,,瓦达汉堡,快餐,20,10,200,现金,下午
247,2022-10-03,新鲜甘蔗汁,饮品,25,6,150,其他,午夜
248,,法兰基卷,快餐,50,5,250,在线支付,午夜
249,,新鲜甘蔗汁,饮品,25,3,75,在线支付,下午
250,,新鲜甘蔗汁,饮品,25,6,150,在线支付,午夜
251,,冰咖啡,饮品,40,13,520,其他,下午
252,,瓦达汉堡,快餐,20,8,160,在线支付,午夜
253,,新鲜甘蔗汁,饮品,25,13,325,在线支付,下午
254,2022-10-09,冰咖啡,饮品,40,12,480,其他,下午
255,,瓦达汉堡,快餐,20,7,140,其他,下午
256,,咖喱土豆球,快餐,20,3,60,在线支付,午夜
257,2023-01-03,招牌三明治,快餐,60,10,600,现金,午夜
258,2022-09-06,瓦达汉堡,快餐,20,14,280,现金,午夜
259,,招牌三明治,快餐,60,4,240,在线支付,早晨
260,2022-09-10,新鲜甘蔗汁,饮品,25,2,50,在线支付,晚上
261,2023-01-11,法兰基卷,快餐,50,9,450,现金,午夜
262,2023-03-05,瓦达汉堡,快餐,20,5,100,其他,傍晚
263,,脆球点心,快餐,20,2,40,现金,傍晚
264,,新鲜甘蔗汁,饮品,25,12,300,在线支付,早晨
265,,瓦达汉堡,快餐,20,6,120,现金,午夜
266,2022-10-02,法兰基卷,快餐,50,10,500,在线支付,晚上
267,2023-03-05,瓦达汉堡,快餐,20,1,20,现金,早晨
268,2023-02-05,冰咖啡,饮品,40,12,480,现金,午夜
269,,脆球点心,快餐,20,2,40,其他,午夜
270,2022-09-07,招牌三明治,快餐,60,13,780,现金,傍晚
271,2022-05-03,瓦达汉堡,快餐,20,13,260,现金,傍晚
272,,法兰基卷,快餐,50,5,250,在线支付,晚上
273,,脆球点心,快餐,20,15,300,现金,午夜
274,2023-01-04,新鲜甘蔗汁,饮品,25,10,250,在线支付,晚上
275,2023-02-04,瓦达汉堡,快餐,20,15,300,在线支付,晚上
276,,新鲜甘蔗汁,饮品,25,6,150,现金,午夜
277,2022-12-08,冰咖啡,饮品,40,13,520,现金,午夜
278,,法兰基卷,快餐,50,6,300,在线支付,晚上
279,,瓦达汉堡,快餐,20,15,300,现金,下午
280,2022-10-09,脆球点心,快餐,20,14,280,在线支付,傍晚
281,2022-08-09,招牌三明治,快餐,60,3,180,现金,下午
282,,瓦达汉堡,快餐,20,13,260,其他,早晨
283,2022-07-02,脆球点心,快餐,20,2,40,现金,午夜
284,,法兰基卷,快餐,50,7,350,其他,下午
285,,咖喱土豆球,快餐,20,3,60,其他,晚上
286,,瓦达汉堡,快餐,20,6,120,其他,晚上
287,2022-08-06,咖喱土豆球,快餐,20,3,60,现金,早晨
288,,招牌三明治,快餐,60,7,420,现金,晚上
289,,咖喱土豆球,快餐,20,7,140,在线支付,午夜
290,2022-05-03,脆球点心,快餐,20,7,140,现金,早晨
291,,法兰基卷,快餐,50,8,400,在线支付,晚上
292,,法兰基卷,快餐,50,2,100,现金,午夜
293,,脆球点心,快餐,20,8,160,在线支付,早晨
294,,咖喱土豆球,快餐,20,1,20,现金,傍晚
295,,招牌三明治,快餐,60,7,420,现金,午夜
296,2023-02-06,脆球点心,快餐,20,7,140,现金,下午
297,,招牌三明治,快餐,60,10,600,在线支付,傍晚
298,,新鲜甘蔗汁,饮品,25,9,225,现金,下午
299,,咖喱土豆球,快餐,20,1,20,在线支付,傍晚
300,,咖喱土豆球,快餐,20,8,160,现金,下午
301,,脆球点心,快餐,20,7,140,现金,晚上
302,,咖喱土豆球,快餐,20,14,280,现金,晚上
303,2022-07-02,新鲜甘蔗汁,饮品,25,1,25,现金,午夜
304,,瓦达汉堡,快餐,20,15,300,在线支付,早晨
305,2023-03-05,脆球点心,快餐,20,4,80,其他,早晨
306,2023-03-03,冰咖啡,饮品,40,8,320,在线支付,早晨
307,,瓦达汉堡,快餐,20,8,160,现金,傍晚
308,,招牌三明治,快餐,60,13,780,在线支付,傍晚
309,,招牌三明治,快餐,60,8,480,在线支付,傍晚
310,,瓦达汉堡,快餐,20,4,80,现金,下午
311,,法兰基卷,快餐,50,7,350,其他,早晨
312,,冰咖啡,饮品,40,1,40,现金,晚上
313,,冰咖啡,饮品,40,1,40,现金,午夜
314,,法兰基卷,快餐,50,8,400,在线支付,早晨
315,,冰咖啡,饮品,40,13,520,在线支付,下午
316,2022-11-02,法兰基卷,快餐,50,4,200,在线支付,早晨
317,2023-03-10,咖喱土豆球,快餐,20,12,240,在线支付,下午
318,,咖喱土豆球,快餐,20,10,200,在线支付,午夜
319,,法兰基卷,快餐,50,15,750,现金,下午
320,,新鲜甘蔗汁,饮品,25,7,175,现金,下午
321,2023-02-08,法兰基卷,快餐,50,12,600,现金,傍晚
322,2022-05-05,冰咖啡,饮品,40,11,440,现金,早晨
323,,咖喱土豆球,快餐,20,4,80,现金,早晨
324,,新鲜甘蔗汁,饮品,25,15,375,在线支付,晚上
325,2023-03-02,咖喱土豆球,快餐,20,12,240,其他,下午
326,2022-05-03,招牌三明治,快餐,60,8,480,现金,傍晚
327,,法兰基卷,快餐,50,15,750,现金,午夜
328,,瓦达汉堡,快餐,20,3,60,在线支付,傍晚
329,2023-01-10,脆球点心,快餐,20,7,140,在线支付,下午
330,,脆球点心,快餐,20,8,160,其他,早晨
331,,脆球点心,快餐,20,4,80,在线支付,傍晚
332,,咖喱土豆球,快餐,20,2,40,其他,下午
333,,新鲜甘蔗汁,饮品,25,11,275,现金,下午
334,2022-04-04,冰咖啡,饮品,40,4,160,现金,傍晚
335,,冰咖啡,饮品,40,11,440,现金,晚上
336,2022-09-03,新鲜甘蔗汁,饮品,25,13,325,其他,午夜
337,,咖喱土豆球,快餐,20,14,280,在线支付,午夜
338,2022-05-06,新鲜甘蔗汁,饮品,25,12,300,现金,早晨
339,,新鲜甘蔗汁,饮品,25,1,25,其他,午夜
340,2022-06-02,冰咖啡,饮品,40,4,160,现金,傍晚
341,,法兰基卷,快餐,50,9,450,现金,傍晚
342,2023-03-11,瓦达汉堡,快餐,20,7,140,在线支付,下午
343,,新鲜甘蔗汁,饮品,25,5,125,现金,下午
344,,冰咖啡,饮品,40,14,560,现金,晚上
345,2022-05-09,脆球点心,快餐,20,14,280,在线支付,晚上
346,,冰咖啡,饮品,40,12,480,现金,早晨
347,,法兰基卷,快餐,50,7,350,现金,下午
348,,瓦达汉堡,快餐,20,1,20,在线支付,午夜
349,,脆球点心,快餐,20,5,100,现金,傍晚
350,,冰咖啡,饮品,40,8,320,在线支付,早晨
351,2022-07-08,法兰基卷,快餐,50,5,250,在线支付,晚上
352,,法兰基卷,快餐,50,11,550,现金,晚上
353,,瓦达汉堡,快餐,20,4,80,在线支付,午夜
354,,脆球点心,快餐,20,14,280,在线支付,午夜
355,,冰咖啡,饮品,40,4,160,在线支付,午夜
356,,新鲜甘蔗汁,饮品,25,14,350,现金,晚上
357,,招牌三明治,快餐,60,9,540,在线支付,下午
358,,咖喱土豆球,快餐,20,6,120,现金,晚上
359,,咖喱土豆球,快餐,20,13,260,在线支付,晚上
360,2022-10-06,冰咖啡,饮品,40,2,80,在线支付,午夜
361,,招牌三明治,快餐,60,15,900,其他,晚上
362,,新鲜甘蔗汁,饮品,25,2,50,现金,早晨
363,2022-05-09,法兰基卷,快餐,50,9,450,在线支付,下午
364,2022-10-11,冰咖啡,饮品,40,2,80,在线支付,晚上
365,2022-07-08,脆球点心,快餐,20,10,200,在线支付,晚上
366,,新鲜甘蔗汁,饮品,25,10,250,在线支付,下午
367,2022-08-10,脆球点心,快餐,20,6,120,其他,下午
368,,冰咖啡,饮品,40,2,80,现金,晚上
369,2022-07-03,招牌三明治,快餐,60,2,120,在线支付,傍晚
370,,脆球点心,快餐,20,5,100,其他,午夜
371,,瓦达汉堡,快餐,20,5,100,在线支付,晚上
372,,法兰基卷,快餐,50,12,600,其他,早晨
373,2022-05-08,新鲜甘蔗汁,饮品,25,12,300,现金,午夜
374,,法兰基卷,快餐,50,10,500,在线支付,午夜
375,,脆球点心,快餐,20,13,260,现金,傍晚
376,2022-12-04,法兰基卷,快餐,50,15,750,现金,午夜
377,,新鲜甘蔗汁,饮品,25,3,75,在线支付,傍晚
378,,瓦达汉堡,快餐,20,2,40,现金,午夜
379,,冰咖啡,饮品,40,14,560,其他,下午
380,,招牌三明治,快餐,60,5,300,在线支付,下午
381,,瓦达汉堡,快餐,20,1,20,在线支付,早晨
382,,冰咖啡,饮品,40,9,360,现金,晚上
383,2022-05-06,咖喱土豆球,快餐,20,7,140,在线支付,早晨
384,,新鲜甘蔗汁,饮品,25,1,25,在线支付,下午
385,,瓦达汉堡,快餐,20,5,100,现金,早晨
386,,法兰基卷,快餐,50,5,250,在线支付,午夜
387,,新鲜甘蔗汁,饮品,25,14,350,现金,午夜
388,2022-10-09,招牌三明治,快餐,60,14,840,现金,傍晚
389,,招牌三明治,快餐,60,12,720,现金,傍晚
390,,新鲜甘蔗汁,饮品,25,5,125,其他,午夜
391,,咖喱土豆球,快餐,20,1,20,在线支付,晚上
392,,咖喱土豆球,快餐,20,15,300,在线支付,晚上
393,2022-07-02,新鲜甘蔗汁,饮品,25,10,250,在线支付,傍晚
394,2022-04-03,招牌三明治,快餐,60,1,60,现金,早晨
395,,招牌三明治,快餐,60,3,180,现金,傍晚
396,,法兰基卷,快餐,50,15,750,在线支付,早晨
397,2022-07-06,咖喱土豆球,快餐,20,2,40,在线支付,下午
398,,脆球点心,快餐,20,6,120,在线支付,傍晚
399,,脆球点心,快餐,20,9,180,现金,傍晚
400,2023-03-04,冰咖啡,饮品,40,15,600,现金,早晨
401,2022-10-11,新鲜甘蔗汁,饮品,25,8,200,在线支付,午夜
402,,法兰基卷,快餐,50,7,350,现金,晚上
403,,冰咖啡,饮品,40,3,120,在线支付,午夜
404,,法兰基卷,快餐,50,7,350,现金,午夜
405,,新鲜甘蔗汁,饮品,25,10,250,现金,晚上
406,,冰咖啡,饮品,40,4,160,在线支付,下午
407,2023-01-02,新鲜甘蔗汁,饮品,25,2,50,现金,傍晚
408,2022-10-05,瓦达汉堡,快餐,20,4,80,在线支付,午夜
409,,咖喱土豆球,快餐,20,9,180,现金,早晨
410,,咖喱土豆球,快餐,20,15,300,在线支付,下午
411,,脆球点心,快餐,20,12,240,现金,下午
412,2023-03-09,新鲜甘蔗汁,饮品,25,14,350,其他,下午
413,2022-04-03,咖喱土豆球,快餐,20,10,200,在线支付,午夜
414,,冰咖啡,饮品,40,13,520,其他,晚上
415,2022-12-05,瓦达汉堡,快餐,20,8,160,在线支付,傍晚
416,2022-08-05,招牌三明治,快餐,60,9,540,其他,早晨
417,,脆球点心,快餐,20,3,60,现金,傍晚
418,2022-11-12,冰咖啡,饮品,40,7,280,在线支付,晚上
419,2022-10-08,新鲜甘蔗汁,饮品,25,14,350,其他,午夜
420,,法兰基卷,快餐,50,13,650,在线支付,傍晚
421,,冰咖啡,饮品,40,2,80,在线支付,午夜
422,2022-08-02,冰咖啡,饮品,40,7,280,在线支付,傍晚
423,,法兰基卷,快餐,50,7,350,现金,晚上
424,,新鲜甘蔗汁,饮品,25,9,225,在线支付,午夜
425,,脆球点心,快餐,20,14,280,在线支付,下午
426,,法兰基卷,快餐,50,14,700,现金,午夜
427,,招牌三明治,快餐,60,2,120,在线支付,下午
428,,新鲜甘蔗汁,饮品,25,8,200,在线支付,下午
429,,冰咖啡,饮品,40,3,120,在线支付,晚上
430,2022-11-05,招牌三明治,快餐,60,4,240,在线支付,晚上
431,,脆球点心,快餐,20,6,120,在线支付,傍晚
432,,脆球点心,快餐,20,6,120,在线支付,下午
433,,脆球点心,快餐,20,14,280,在线支付,傍晚
434,,咖喱土豆球,快餐,20,12,240,现金,早晨
435,2022-05-08,招牌三明治,快餐,60,1,60,现金,下午
436,2023-01-05,法兰基卷,快餐,50,10,500,现金,午夜
437,,冰咖啡,饮品,40,1,40,其他,早晨
438,,冰咖啡,饮品,40,5,200,在线支付,早晨
439,,法兰基卷,快餐,50,13,650,在线支付,下午
440,,咖喱土豆球,快餐,20,7,140,现金,下午
441,2022-11-02,咖喱土豆球,快餐,20,1,20,在线支付,午夜
442,,新鲜甘蔗汁,饮品,25,7,175,在线支付,晚上
443,2022-09-05,新鲜甘蔗汁,饮品,25,12,300,现金,晚上
